Station ID,Station Name,Station Latitude,Station Longitude,end station id
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,151
3658,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,3658
167,E 39 St & 3 Ave,40.7489006,-73.97604882,167
3398,Smith St & 9 St,40.6746957,-73.99785768,3398
3304,6 Ave & 9 St,40.668127,-73.98377641,3304
519,Pershing Square North,40.751873,-73.977706,519
3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,3263
3749,Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206,3749
3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3553
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,270
3351,E 102 St & 1 Ave,40.7869946,-73.94164802,3351
499,Broadway & W 60 St,40.76915505,-73.98191841,499
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,3102
342,Columbia St & Rivington St,40.71739973,-73.98016555,342
3549,Grand Ave & Bergen St,40.678045,-73.962408,3549
3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,3418
3411,Bond St & Bergen St,40.6849668,-73.98620772,3411
3708,W 13 St & 5 Ave,40.735445,-73.99431,3708
3715,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,3715
465,Broadway & W 41 St,40.75513557,-73.98658032,465
3309,E 97 St & 3 Ave,40.7859201,-73.94860294,3309
3105,N 15 St & Wythe Ave,40.724055,-73.955736,3105
3148,E 84 St & 1 Ave,40.77565541,-73.95068615,3148
347,Greenwich St & W Houston St,40.728846,-74.008591,347
296,Division St & Bowery,40.71413089,-73.9970468,296
355,Bayard St & Baxter St,40.71602118,-73.99974372,355
3781,Greene Av & Myrtle Av,40.698568,-73.918877,3781
174,E 25 St & 1 Ave,40.7381765,-73.97738662,174
3370,E 78 St & 2 Ave,40.7727966,-73.95577801,3370
316,Fulton St & William St,40.70955958,-74.00653609,316
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,293
3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,3508
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,3356
546,E 30 St & Park Ave S,40.74444921,-73.98303529,546
526,E 33 St & 5 Ave,40.74765947,-73.98490707,526
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3093
383,Greenwich Ave & Charles St,40.735238,-74.000271,383
3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,3463
3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,3423
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,241
3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,3656
320,Leonard St & Church St,40.717571,-74.005549,320
3660,W 16 St & 8 Ave,40.74102150900266,-74.001384973526,3660
127,Barrow St & Hudson St,40.73172428,-74.00674436,127
3494,E 115 St & Lexington Ave,40.797911,-73.9423,3494
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,438
362,Broadway & W 37 St,40.75172632,-73.98753523,362
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3064
445,E 10 St & Avenue A,40.72740794,-73.98142006,445
237,E 11 St & 2 Ave,40.73047309,-73.98672378,237
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3119
3258,W 27 St & 10 Ave,40.75018156325683,-74.00218427181244,3258
388,W 26 St & 10 Ave,40.749717753,-74.002950346,388
297,E 15 St & 3 Ave,40.734232,-73.986923,297
453,W 22 St & 8 Ave,40.74475148,-73.99915362,453
483,E 12 St & 3 Ave,40.73223272,-73.98889957,483
400,Pitt St & Stanton St,40.71926081,-73.98178024,400
3318,2 Ave & E 96 St,40.7839636,-73.9471673,3318
3486,Schermerhorn St & Bond St,40.688417427540834,-73.98451656103134,3486
3601,Sterling St & Bedford Ave,40.6627059,-73.9569115,3601
3394,Columbia St & W 9 St,40.6769993,-74.00647134,3394
3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024,3576
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,364
3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,3699
513,W 56 St & 10 Ave,40.768254,-73.988639,513
405,Washington St & Gansevoort St,40.739323,-74.008119,405
331,Pike St & Monroe St,40.71173107,-73.99193043,331
466,W 25 St & 6 Ave,40.74395411,-73.99144871,466
3140,1 Ave & E 78 St,40.77140426,-73.9535166,3140
3745,36 Ave & 31 St,40.75651272984955,-73.92957486212252,3745
346,Bank St & Hudson St,40.73652889,-74.00618026,346
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,244
471,Grand St & Havemeyer St,40.71286844,-73.95698119,471
3435,Grand St & Elizabeth St,40.718822,-73.99596,3435
334,W 20 St & 7 Ave,40.74238787,-73.99726235,334
164,E 47 St & 2 Ave,40.75323098,-73.97032517,164
486,Broadway & W 29 St,40.7462009,-73.98855723,486
406,Hicks St & Montague St,40.69512845,-73.99595065,406
3561,37 Ave & 35 St,40.7531106,-73.9279917,3561
394,E 9 St & Avenue C,40.72521311,-73.97768752,394
3493,E 118 St & 3 Ave,40.799139,-73.9389152,3493
3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,3725
3305,E 91 St & 2 Ave,40.78112229934166,-73.94965589046478,3305
3399,7 St & 3 Ave,40.67260298150126,-73.98983001708984,3399
3707,Lexington Ave & E 26 St,40.741459,-73.983293,3707
3117,Franklin St & Dupont St,40.73564,-73.95866,3117
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,2021
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,336
3507,Park Ave & E 124 St,40.8045555,-73.9396861,3507
478,11 Ave & W 41 St,40.76030096,-73.99884222,478
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,236
3301,Columbus Ave & W 95 St,40.7919557,-73.968087,3301
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,539
341,Stanton St & Mangin St,40.71782143,-73.97628939,341
3341,Central Park West & W 102 St,40.795346,-73.96186,3341
3329,Degraw St & Smith St,40.6829151,-73.99318208,3329
128,MacDougal St & Prince St,40.72710258,-74.00297088,128
2012,E 27 St & 1 Ave,40.739445,-73.976806,2012
309,Murray St & West St,40.7149787,-74.013012,309
3366,West End Ave & W 107 St,40.8021174,-73.9681805305,3366
422,W 59 St & 10 Ave,40.770513,-73.988038,422
458,11 Ave & W 27 St,40.751396,-74.005226,458
423,W 54 St & 9 Ave,40.76584941,-73.98690506,423
314,Cadman Plaza West & Montague St,40.69383,-73.990539,314
3115,India St & Manhattan Ave,40.73232194,-73.9550858,3115
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,3047
2008,Little West St & 1 Pl,40.70569254,-74.01677685,2008
340,Madison St & Clinton St,40.71269042,-73.98776323,340
502,Henry St & Grand St,40.714215,-73.981346,502
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,284
279,Peck Slip & Front St,40.707873,-74.00167,279
3151,E 81 St & York Ave,40.7728384,-73.94989233,3151
212,W 16 St & The High Line,40.74334935,-74.00681753,212
472,E 32 St & Park Ave,40.7457121,-73.98194829,472
426,West St & Chambers St,40.71754834,-74.01322069,426
3734,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658,3734
503,E 20 St & Park Ave,40.73827428,-73.98751968,503
447,8 Ave & W 52 St,40.76370739,-73.9851615,447
3537,Carlton Ave & Dean St,40.6809741,-73.9710097,3537
3598,Newton Rd & 44 St,40.7595701,-73.9142678,3598
493,W 45 St & 6 Ave,40.7568001,-73.98291153,493
3533,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,3533
3568,34 St & 35 Ave,40.7569332,-73.9262231,3568
295,Pike St & E Broadway,40.71406667,-73.99293911,295
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,83
3402,Court St & State St,40.6902375,-73.99203074,3402
525,W 34 St & 11 Ave,40.75594159,-74.0021163,525
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,3113
3314,W 95 St & Broadway,40.7937704,-73.971888,3314
3591,21 St & 31 Dr,40.7659,-73.930819,3591
3108,Nassau Ave & Russell St,40.72557,-73.94434,3108
454,E 51 St & 1 Ave,40.75455731,-73.96592976,454
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,228
487,E 20 St & FDR Drive,40.73314259,-73.97573881,487
3002,South End Ave & Liberty St,40.711512,-74.015756,3002
3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,3244
450,W 49 St & 8 Ave,40.76227205,-73.98788205,450
3142,1 Ave & E 62 St,40.7612274,-73.96094022,3142
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,366
403,E 2 St & 2 Ave,40.72502876,-73.99069656,403
3756,White St & Moore St,40.704508,-73.9351,3756
507,E 25 St & 2 Ave,40.73912601,-73.97973776,507
3282,5 Ave & E 88 St,40.78307,-73.95939,3282
479,9 Ave & W 45 St,40.76019252,-73.9912551,479
3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,3139
3088,Union Ave & Jackson St,40.7160751,-73.952029,3088
3675,3 Ave & E 95 St,40.78459679884892,-73.94968539476395,3675
523,W 38 St & 8 Ave,40.75466591,-73.99138152,523
308,St James Pl & Oliver St,40.71307916,-73.99851193,308
3319,14 St & 5 Ave,40.666287,-73.98895053,3319
3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,3529
3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,3690
3701,Cliff St & Fulton St (Old),40.70831794366396,-74.00504082441329,3701
3163,Central Park West & W 68 St,40.7734066,-73.97782542,3163
3440,Fulton St & Adams St,40.69241829257847,-73.98949474096298,3440
305,E 58 St & 3 Ave,40.76095756,-73.96724467,305
3572,34 Ave & 38 St,40.756913,-73.921631,3572
3461,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,3461
3080,S 4 St & Rodney St,40.70934,-73.95608,3080
3788,E 12 St & 4 Av,40.73269,-73.98974,3788
3560,28 St & 38 Ave,40.754876,-73.934326,3560
3407,Union St & Nevins St,40.67909799721684,-73.98765474557877,3407
3697,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,3697
3068,Humboldt St & Varet St,40.7031724,-73.940636,3068
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,3083
243,Fulton St & Rockwell Pl,40.68841,-73.979458,243
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,3058
3077,Stagg St & Union Ave,40.70877084,-73.95095259,3077
3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,3628
3335,Union St & 4 Ave,40.6772744,-73.98282002,3335
3158,W 63 St & Broadway,40.77163851,-73.98261428,3158
3506,Lexington Ave & E 120 St,40.8013066,-73.9398167,3506
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,3541
3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,3167
3772,Devoe St & Morgan Ave,40.713811,-73.93515,3772
3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,3358
3570,35 Ave & 37 St,40.7557327,-73.9236611,3570
368,Carmine St & 6 Ave,40.73038599,-74.00214988,368
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006
3306,10 St & 7 Ave,40.6662078,-73.98199886,3306
412,Forsyth St & Canal St,40.7158155,-73.99422366,412
3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103554,3711
492,W 33 St & 7 Ave,40.75019995,-73.99093085,492
517,Pershing Square South,40.751581,-73.97791,517
3689,W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028,3689
358,Christopher St & Greenwich St,40.73291553,-74.00711384,358
3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,3581
280,E 10 St & 5 Ave,40.73331967,-73.99510132,280
531,Forsyth St & Broome St,40.71893904,-73.99266288,531
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,245
3671,E 81 St & 2 Ave,40.77477944895728,-73.95427465438843,3671
3733,Avenue C & E 18 St,40.730563,-73.973984,3733
168,W 18 St & 6 Ave,40.73971301,-73.99456405,168
389,Broadway & Berry St,40.71044554,-73.96525063,389
304,Broadway & Battery Pl,40.70463334,-74.01361706,304
3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,3574
3556,24 St & 41 Ave,40.7527085,-73.9397405,3556
3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,3509
410,Suffolk St & Stanton St,40.72066442,-73.98517977,410
3400,E 110 St & Madison Ave,40.7961535,-73.94782145,3400
3141,1 Ave & E 68 St,40.76500525,-73.95818491,3141
3345,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618,3345
3082,Hope St & Union Ave,40.71167351,-73.95141312,3082
3409,Bergen St & Smith St,40.6867443,-73.99063168,3409
311,Norfolk St & Broome St,40.7172274,-73.98802084,311
79,Franklin St & W Broadway,40.71911552,-74.00666661,79
440,E 45 St & 3 Ave,40.75255434,-73.97282625,440
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,3126
248,Laight St & Hudson St,40.72185379,-74.00771779,248
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,436
3160,Central Park West & W 76 St,40.77896784,-73.97374737,3160
289,Monroe St & Classon Ave,40.6845683,-73.95881081,289
3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,3078
3146,E 81 St & 3 Ave,40.77573034,-73.9567526,3146
387,Centre St & Chambers St,40.71273266,-74.0046073,387
326,E 11 St & 1 Ave,40.72953837,-73.98426726,326
3159,W 67 St & Broadway,40.77492513,-73.98266566,3159
351,Front St & Maiden Ln,40.70530954,-74.00612572,351
469,Broadway & W 53 St,40.76344058,-73.98268129,469
3728,Pierrepont St & Monroe Pl,40.69535693320225,-73.99344027042389,3728
3718,E 11 St & Avenue B,40.72746420692392,-73.97950418293476,3718
372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,372
3569,Franklin Ave & St Marks Ave,40.6758324,-73.9561677,3569
3346,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629,3346
3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,3532
3618,27 St & Hunter St,40.7485,-73.941275,3618
3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871246,3686
442,W 27 St & 7 Ave,40.746647,-73.993915,442
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,252
3584,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,3584
3387,E 106 St & Madison Ave,40.7934337,-73.94945003,3387
3674,Jay St & York St,40.70140317257725,-73.98672670125961,3674
474,5 Ave & E 29 St,40.7451677,-73.98683077,474
3419,Douglass St & 4 Ave,40.6792788,-73.98154004,3419
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,3095
491,E 24 St & Park Ave S,40.74096374,-73.98602213,491
3454,Leonard St & Maujer St,40.7103685423523,-73.94705951213837,3454
